Transfer Institution,Transfer Crs,Title,BU Equiv Crs,Catalog Year
,16266,Upper Extrem Lab,EXSC ELE,UG14
89045  Adams State College,HGP  179,Citizenship/Community Service,GEN. ELE,UG12
89045  Adams State College,ID   179,College Options,GEN. ELE,UG12
89637  Aims Community College,BIO  105,Science of Biology,BIOL GER,UG11
89637  Aims Community College,CIS  118,Intro to PC Applications,C.S. 116,UG11
89637  Aims Community College,CSL  111,Basic Human Potential Seminar,GEN. ELE,UG11
89637  Aims Community College,EDU  158,Laughter - The Best Medicine,GEN. ELE,UG11
89637  Aims Community College,ENG  122,English Compostion II,ENGL ELE,UG11
89637  Aims Community College,HIS  101,Western Civilization I,HIST 116,UG11
89637  Aims Community College,HIS  201,US History I,HIST 201,UG11
89637  Aims Community College,HUM  121,Survey of Humanities I,HUM. ELE,UG11
89637  Aims Community College,PHI  111,Intro to Philosophy,PHIL 160,UG11
89637  Aims Community College,POS  105,Intro to Political Science,P.S. ELE,UG11
89637  Aims Community College,PSY  101,General Psychology I,PSYC 103,UG11
89637  Aims Community College,PSY  102,General Psychology II,PSYC ELE,UG11
89637  Aims Community College,PSY  235,Developmental Psychology,PSYC 218,UG11
89637  Aims Community College,PSY  278,Psych of Criminal Behavior,PSYC ELE,UG11
89637  Aims Community College,PSY  279,Abuse in Relationships,PSYC ELE,UG11
89637  Aims Community College,SPA  101,Conversational Spanish I,SPAN 101,UG11
89637  Aims Community College,SPE  115,Public Speaking,COMM 103,UG11
1058641  American Public University,COLL 100,Foundations of Online Learning,GEN. ELE,UG12
1058641  American Public University,COLL 100,Foundations of Online Learning,GEN. ELE,UG13
1058641  American Public University,COLL 100,Foundations of Online Learning,GEN. ELE,UG14
1058641  American Public University,ECON 101,Microeconomics,ECON 111,UG13
1058641  American Public University,ENGL 101,Proficiency in Writing,ENGL 101,UG13
1058641  American Public University,ENGL 101,Proficiency in Writing,ENGL 101,UG14
1058641  American Public University,ENGL 101,Proficiency in Writing,ENGL 101,UG12
1058641  American Public University,ENGL 102,Effectiveness in Writing,ENGL ELE,UG12
1058641  American Public University,ENGL 102,Effectiveness in Writing,ENGL ELE,UG13
1058641  American Public University,HIST 101,American History to 1877,HIST 201,UG13
1058641  American Public University,HIST 102,American History Since 1877,HIST 202,UG13
1058641  American Public University,LITR 221,Amer Lit from the Civil War to,ENGL GER,UG13
1058641  American Public University,MATH 110,College Algebra,MATH 105,UG12
1058641  American Public University,MATH 110,College Algebra,MATH 105,UG14
1058641  American Public University,PHIL 101,Introduction to Philosophy,PHIL 160,UG12
1058641  American Public University,SCIN 132,Intro to Human Anatomy & Phys,BIOL 108,UG13
71908  Anderson University,BIBL2000,Intro to The Bible,THEO ELE,UG14
71908  Anderson University,ENGL1110,Rhetoric & Composition,ENGL 101,UG14
71908  Anderson University,ENGL1400,Valuing Through Literature,ENGL GER,UG14
94317  Armstrong State University,ENGL1101,Composition I,ENGL 101,UG14
94317  Armstrong State University,HIST1111,Civilization I,HIST 116,UG14
94317  Armstrong State University,MATH1111,College Algebra,MATH 105,UG14
94317  Armstrong State University,THEA1200,Introduction to Theatre,THEA GER,UG14
72039  Asbury University,ART  123,Intro Drawing,ART. 101,UG12
72039  Asbury University,ART  266,Photography I,ART. 250,UG11
72039  Asbury University,ART 100B,Art Appreciation,ART. GER,UG13
72039  Asbury University,BIO  280,Asci/Medl Terminology,GEN. ELE,UG14
72039  Asbury University,CHE  121,General Col Chemistry,CHEM 103,UG12
72039  Asbury University,CHE  123,General Col Chemistry Lab,CHEM 103L,UG12
72039  Asbury University,CM   100,Ministry and Mission,GEN. ELE,UG11
72039  Asbury University,COM  150,Intro Communication,COMM 103,UG12
72039  Asbury University,ECN  272,Intro Microeconomics,ECON 111,UG14
72039  Asbury University,ECN 100A,Current Econ Issues,ECON ELE,UG13
72039  Asbury University,ED   210,Practicum - PM,EDUC 112,UG11
72039  Asbury University,ED   274,SS/Sci Content/Elem,EDUC 337,UG11
72039  Asbury University,ED   320,Exceptional Learner,EDUC 214,UG11
72039  Asbury University,ED   330,Behavioral Interven,EDUC 312,UG11
72039  Asbury University,ED   338,Intro to LBD,EDUC 382,UG11
72039  Asbury University,ED   341,Lang Arts Meth (P-5),EDUC 339,UG11
72039  Asbury University,ED   342,Teach Reading,EDUC 335,UG11
72039  Asbury University,ED   360,Soc St Meth/Mat (P-5),EDUC 338,UG11
72039  Asbury University,ED   380,Math/Sci Methods,EDUC 336,UG11
72039  Asbury University,ED   415,Assess/Special Ed,EDUC 362,UG11
72039  Asbury University,ENG  110,Expos & Research,ENGL 101,UG11
72039  Asbury University,ENG  110,Expos & Research,ENGL 101,UG14
72039  Asbury University,ENG  110,Expos & Research,ENGL 101,UG12
72039  Asbury University,ENG  205,Western Classics,ENGL GER,UG12
72039  Asbury University,ENG  205,Western Classics,ENGL GER,UG14
72039  Asbury University,ENG  205,Western Classics,ENGL 200,UG11
72039  Asbury University,ENG  240,Gram/Comp Ele Tchr,ENGL ELE,UG11
72039  Asbury University,ENG  360,Children's Lit (P-5),ENGL ELU,UG11
72039  Asbury University,ENS  141,Concert Band,MUSC ELE,UG14
72039  Asbury University,ENS 141A,Concert Band,MUSC ELE,UG13
72039  Asbury University,FRN  102,Elementary French II,FREN 102,UG12
72039  Asbury University,HIS  101,Western Civ I,HIST 116,UG12
72039  Asbury University,HIS  202,U.S. Hist Since 1876,HIST 202,UG14
72039  Asbury University,JRN  305,Publishing/Design,COMM ELE,UG12
72039  Asbury University,LA  100T,Engaging Liberal Arts,IDC. 100,UG13
72039  Asbury University,MAT  120,Concepts/Math & Tech,MATH ELE,UG12
72039  Asbury University,MAT  162,Elem School Math I,MATH 101,UG11
72039  Asbury University,MAT  261,Elem School Math II,MATH 102,UG11
72039  Asbury University,MAT 131A,Finite Math/Business,MATH ELE,UG13
72039  Asbury University,MC   120,Radio Production,COMM 180,UG12
72039  Asbury University,MC   212,Writing for Media,COMM 304,UG12
72039  Asbury University,MC   225,Interactive Media I,COMM ELE,UG12
72039  Asbury University,MC   261,Multi-Cam Production,COMM ELE,UG12
72039  Asbury University,MC   317,Media Ministries,COMM ELE,UG12
72039  Asbury University,OT   100,Und Old Testament,THEO GER,UG12
72039  Asbury University,OT  100D,Und Old Testament,THEO GER,UG13
72039  Asbury University,PED  100,Theory of Wellness,GEN. ELE,UG12
72039  Asbury University,PED 100J,Theory of Wellness,GEN. ELE,UG13
72039  Asbury University,PHL  200,Intro to Philosophy,PHIL 160,UG12
72039  Asbury University,SOC  100,Intro Sociology,SOC. 101,UG12
70697  Ashland Community & Technical Co,ANA  104,Ana & Pgy,BIOL 108,UG11
70697  Ashland Community & Technical Co,ANT  220,Intro to Cultural Anthropology,ANTH 111,UG11
70697  Ashland Community & Technical Co,ART  100,Intro to Art,ART. GER,UG11
70697  Ashland Community & Technical Co,BSL  112,Elem Med Micro,BIOL 202,UG11
70697  Ashland Community & Technical Co,CHE  105,General College Chemistry I,CHEM 103,UG11
70697  Ashland Community & Technical Co,CHE  107,General College Chemistry II,CHEM 104,UG11
70697  Ashland Community & Technical Co,CHE  115,General Chemistry Lab,CHEM ELE,UG11
70697  Ashland Community & Technical Co,CHE  230,Organic Chemistry I,CHEM 205,UG11
70697  Ashland Community & Technical Co,CHE  231,Organic Chemistry Lab I,CHEM 205L,UG11
70697  Ashland Community & Technical Co,CHE  232,Organic Chemistry II,CHEM 206,UG11
70697  Ashland Community & Technical Co,CHE  233,Organic Chemistry Lab II,CHEM 206L,UG11
70697  Ashland Community & Technical Co,CHM  100,Intro to Chemistry,CHEM GER,UG11
70697  Ashland Community & Technical Co,CLA  131,Med Term Grk/Lat,GEN. ELE,UG11
70697  Ashland Community & Technical Co,COM  181,Basic Public Speaking,COMM 103,UG14
70697  Ashland Community & Technical Co,DRE  140,Fresh Orient,IDC. 100,UG11
70697  Ashland Community & Technical Co,ENG  101,Fresh Comp,ENGL 101,UG11
70697  Ashland Community & Technical Co,ENG  102,Adv Fresh Comp,ENGL ELE,UG11
70697  Ashland Community & Technical Co,ENG  102,Writing II,ENGL ELE,UG14
70697  Ashland Community & Technical Co,ENG  252,Survey of American Lit II,ENGL 207,UG11
70697  Ashland Community & Technical Co,HIS  104,History of Europe,HIST 116,UG11
70697  Ashland Community & Technical Co,HIS  108,His US Thr 1865,HIST 201,UG11
70697  Ashland Community & Technical Co,MAT  150,College Algebra,MATH 105,UG14
70697  Ashland Community & Technical Co,NFS  101,Food & Nutr Man,NURS 200,UG11
70697  Ashland Community & Technical Co,NSG  180,Fund of Nursing,NURS ELE,UG11
70697  Ashland Community & Technical Co,NSG  185,Family Nursing,NURS ELE,UG11
70697  Ashland Community & Technical Co,NSG  280,Ment-Phys Ill I,NURS ELE,UG11
70697  Ashland Community & Technical Co,NSG  285,Ment-Phys Ill II,NURS ELE,UG11
70697  Ashland Community & Technical Co,PHI  100,Intro to Philosophy,PHIL 160,UG11
70697  Ashland Community & Technical Co,PSY  110,General Psychology,PSYC 103,UG14
70697  Ashland Community & Technical Co,PSY  223,Develop Psy,PSYC 218,UG11
70697  Ashland Community & Technical Co,PY   110,General Psychology,PSYC 103,UG11
70697  Ashland Community & Technical Co,RS   101,Intro to Religious Studies,THEO ELE,UG11
70697  Ashland Community & Technical Co,SOC  101,Intro Sociology,SOC. 101,UG11
70697  Ashland Community & Technical Co,SOC  235,Inequality in Society,SOC. ELE,UG11
70697  Ashland Community & Technical Co,SPA  102,Elemen Spanish II,SPAN 102,UG11
70697  Ashland Community & Technical Co,STA  200,Statistics Force Human Judgemn,MATH 200,UG11
72054  Aurora University,ACC 2010,Prins of Financial Accounting,ACCT 101,UG12
72054  Aurora University,ACC 2020,Prins of Managerial Accounting,ACCT 102,UG12
72054  Aurora University,ART 1000,Art Appreciation,ART. GER,UG12
72054  Aurora University,BUS 2300,Principles of Marketing,B.A. 305,UG12
72054  Aurora University,BUS 3350,Consumer Behavior,B.A. ELU,UG12
72054  Aurora University,ECN 2010,Principles of Microeconomics,ECON 111,UG12
72054  Aurora University,ENG 1000,Intro to Academic Writing,ENGL 101,UG12
72054  Aurora University,ENG 2010,Intro Research Writing,ENGL ELE,UG12
72054  Aurora University,FRN 1810,St: Elementary French,FREN 101,UG12
72054  Aurora University,IDS 1600,"Culture, Diversity & Expression", GEN. ELE, UG1
72054  Aurora University,IDS 2000,Wellness & Soc Responsibility,GEN. ELE,UG12
72054  Aurora University,MTH 2320,General Statistics,MATH 205,UG12
72054  Aurora University,NSM 1150,Science Foundations,N.S. ELE,UG12
72054  Aurora University,REL 2060,Exploring Religion,THEO ELE,UG12
72054  Aurora University,REL 2200,The Shaping of Christian Ident, THEO ELE, UG1
72054  Aurora University,SWK 2050,Drugs and Human Behavior,GEN. ELE,UG12
72055  Austin Peay State University,BIOL2020,Human Anat and Physiology,BIOL 109,UG11
72055  Austin Peay State University,BIOL2021,Human Anat and Phys Lab,BIOL 109L,UG11
72055  Austin Peay State University,CSCI1005,Comp Hdwr Sftwr Prg Concepts,C.S. 110,UG15
72055  Austin Peay State University,CSCI3300,Intro Web Development,C.S. 117,UG15
72055  Austin Peay State University,GB   111,Introduction to Busi,B.A. 103,UG11
72055  Austin Peay State University,HIST2010,American History I,HIST 201,UG14
72055  Austin Peay State University,HIST2020,American History II,HIST 202,UG14
72055  Austin Peay State University,MUS 1030,Music Appreciation,MUSC GER,UG14
72055  Austin Peay State University,PSY  102,General Psychology I,PSYC 103,UG11
72055  Austin Peay State University,PSY 1010,General Psychology,PSYC 103,UG14
72055  Austin Peay State University,PSY 3100,Developmental Psychology,PSYC 218,UG11
71024  Baker College: Flint,ACC  101,Principles Acc I,ACCT 101,UG14
71024  Baker College: Flint,ACC  102,Principles Acc II,ACCT 102,UG14
71024  Baker College: Flint,ECN  201,Prin Macroeconomics,ECON 110,UG14
71024  Baker College: Flint,ECN  202,Prin Microeconomics,ECON 111,UG14
71024  Baker College: Flint,ENG  101,Composition I,ENGL 101,UG14
71024  Baker College: Flint,ENG  102,Composition II,ENGL ELE,UG14
71024  Baker College: Flint,INF  111,Info Systems Theory,C.S. ELE,UG14
71024  Baker College: Flint,INF  114,File Management,C.S. ELE,UG14
71024  Baker College: Flint,LAW  211,Business Law,B.A. 203,UG14
71024  Baker College: Flint,MGT  222,Management Seminar,B.A. 103,UG14
71024  Baker College: Flint,MGT  231,Small Business Mgt,B.A. ELE,UG14
71024  Baker College: Flint,MGT  301,Organizational Behav,B.A. ELU,UG14
71024  Baker College: Flint,MKT  201,Sales,B.A. ELE,UG14
71024  Baker College: Flint,MKT  202,Advertising,COMM 202,UG14
71024  Baker College: Flint,MKT  312,Consumer Behavior,B.A. ELE,UG14
71024  Baker College: Flint,MTH  101,Math for Business,MATH 107,UG14
71024  Baker College: Flint,PSY  101,Human Relations,PSYC ELE,UG14
71024  Baker College: Flint,PSY  111,General Psychology,PSYC 103,UG14
71024  Baker College: Flint,SPK  201,Oral Communication,COMM 103,UG14
71024  Baker College: Flint,WRI  111,Bus Communication,GEN. ELE,UG14
72068  Ball State University,ANAT 201,Fund Hum Ana,BIOL 114,UG11
72068  Ball State University,BIO  111,Princ Bio I,BIOL 130,UG11
72068  Ball State University,ENG  103,Rhet & Writ,ENGL 101,UG11
72068  Ball State University,ENG  104,Comp Resrch,ENGL ELE,UG11
72068  Ball State University,ENG  320,Intro to Linguistics Science,ENGL ELU,UG14
72068  Ball State University,HIST 150,The West in the World,HIST 116,UG14
72068  Ball State University,MATH 181,Elementary Probability Stats,MATH 205,UG14
72068  Ball State University,MATHS161,Appl Calc I,MATH 125,UG11
94621  Barry University,BIO  220,Intro Human Anatomy,BIOL 108,UG11
94621  Barry University,BIO  240,Intro Human Physiology,BIOL 109,UG11
94621  Barry University,BIO  240,Intro Human Physiology,BIOL 109,UG15
94621  Barry University,BIO 220L,Intro Human Anatomy Lab,BIOL 108L,UG11
94621  Barry University,BIO 240L,Intro Hum Physiology Lab,BIOL 109L,UG11
94621  Barry University,BIO 240L,Intro Hum Physiology Lab,BIOL ELE,UG15
94621  Barry University,CS   180,Intro to Computers,C.S. 116,UG11
94621  Barry University,ENG  111,First Year Comp/Lit,ENGL 101,UG11
94621  Barry University,ENG  210,Intro to Literature,ENGL GER,UG11
94621  Barry University,MAT  152,Elem Prob & Stats,MATH 205,UG11
94621  Barry University,PHO  203,Basic Photography,ART. 260,UG12
94621  Barry University,SOC  246,Marriage and Family,SOC. ELE,UG11
70940  Barton County Community College,ACCT1614,Accounting I,ACCT 101,UG12
70940  Barton County Community College,BISO1800,Business Communications,B.A. ELE,UG12
70940  Barton County Community College,BUSI1600,Introduction to Business,B.A. 103,UG12
70940  Barton County Community College,BUSI1607,Business Ethics,PHIL ELE,UG12
70940  Barton County Community College,BUSI1804,Human Relations in Business,B.A. ELE,UG12
70940  Barton County Community College,BUSI1805,Marketing,B.A. 305,UG12
70940  Barton County Community College,BUSI1807,Customer Service,B.A. ELE,UG12
70940  Barton County Community College,COMM1200,Interpersonal Communication,COMM 302,UG12
70940  Barton County Community College,ENGL1204,English Composition I,ENGL 101,UG12
70940  Barton County Community College,ENGL1206,English Composition II,ENGL ELE,UG12
70940  Barton County Community College,ENGL1216,Creative Writing,ENGL ELE,UG12
70940  Barton County Community College,LEAD1000,Intro to Leadership Concepts,GEN. ELE,UG12
95153  Baylor University,ECO 1305,Survey of Economic Princ,ECON ELE,UG11
95153  Baylor University,EDC  200,Col rdg & study skills,IDC. 100,UG11
95153  Baylor University,EDC 1200,Col rdg & study skills,IDC. 100,UG11
95153  Baylor University,REL 1311,New Testament Survey,THEO GER,UG11
95153  Baylor University,SOC 1305,Intro to Sociology,SOC. 101,UG11
95167  Bellevue University,BI   206,Nutrition through the Lifespan,NURS 200,UG11
95167  Bellevue University,CA   305,Comflict and Commuication,COMM ELE,UG11
95167  Bellevue University,HHS  255,Med Terminology & Document,GEN. ELE,UG11
95167  Bellevue University,HHS  321,Client or Patient,GEN. ELE,UG11
95167  Bellevue University,SO   420,Healthcare and Medic,SOC. ELU,UG11
72073  Belmont University,AET 1450,Critical Listening Audio Prod,GEN. ELE,UG14
72073  Belmont University,ART 1000,Intro to Visual Interpretation,ART. ELE,UG11
72073  Belmont University,ART 1011,Principles of Color,ART. 211,UG11
72073  Belmont University,ART 1020,3-D Principles of Design,ART. 230,UG11
72073  Belmont University,ART 1030,Drawing I,ART. 101,UG11
72073  Belmont University,ART 1060,Photography I,ART. 260,UG12
72073  Belmont University,ART 1400,Digital Imaging,ART. 231,UG12
72073  Belmont University,ART 1700,Principles of Web Page Design,C.S. 117,UG11
72073  Belmont University,ART 2410,Intro to Design Principles,ART. ELE,UG11
72073  Belmont University,ATL 2350,Prevention/Treatment of Injury,EXSC 324,UG11
72073  Belmont University,BIO 1000,Seminar in Biology,GEN. ELE,UG12
72073  Belmont University,BIO 1110,Principles of Biology I,BIOL 130,UG12
72073  Belmont University,BIO 1120,Prin of Biology II,BIOL 140,UG12
72073  Belmont University,CEM 1610,General Chemistry,CHEM 103,UG12
72073  Belmont University,CEM 1620,General Chemistry II,CHEM 104,UG12
72073  Belmont University,COM 1100,Fund of Speech Communication,COMM 103,UG11
72073  Belmont University,ECO 2210,Principles of Macroeconomics,ECON 110,UG11
72073  Belmont University,ECO 2220,Principles of Microesconomics,ECON 111,UG11
72073  Belmont University,ENG 1010,First-Year Writing,ENGL 101,UG12
72073  Belmont University,ENG 1010,First-Year Writing,ENGL 101,UG14
72073  Belmont University,ENW 2015,Adv. of Writers Who Walk,ENGL GER,UG14
72073  Belmont University,EXS 3120,Lab Methods in EXS,EXSC 360,UG11
72073  Belmont University,GND 1015,First-year Seminar,IDC. 101,UG14
72073  Belmont University,GND 1015,First-year Seminar,IDC. 101,UG11
72073  Belmont University,HIS 1200,The Wild West,HIST ELE,UG12
72073  Belmont University,MBU 1110,Survey of Music Business,MUSC ELE,UG14
72073  Belmont University,MBU 1110,Survey of Music Business,MUSC GER,UG14
72073  Belmont University,MBU 2130,History of Recording Business,MUSC ELE,UG14
72073  Belmont University,MDS 1500,Mass Media and Society,COMM 200,UG11
72073  Belmont University,MFA 1110,Commercial Voice Class,MUSI 115,UG14
72073  Belmont University,MGT 3230,Business Ethics,PHIL ELE,UG11
72073  Belmont University,MTH 1020,Intro- Mathematical Reasoning,MATH 107,UG14
72073  Belmont University,MTH 1151,Elementary Statistics Sciences,MATH 205,UG12
72073  Belmont University,MUH 2000,The Musical Experience,MUSC 110,UG14
72073  Belmont University,PED 1600,Health & Fitness Concepts,GEN. ELE,UG14
72073  Belmont University,PED 1600,Health & Fitness Concepts,GEN. ELE,UG11
72073  Belmont University,PHI 1600,Introduction to Philosophy,PHIL 160,UG11
72073  Belmont University,PHI 1600,Introduction to Philosophy,PHIL 160,UG14
72073  Belmont University,REL 1010,Understanding the Bible,THEO GER,UG11
72073  Belmont University,REL 1020,Intro to the Old Testament,THEO 301,UG14
72073  Belmont University,SOC 1010,Introduction to Sociology,SOC. 101,UG14
147170  Berea College,GSTR 100,Stories: Encounter Others-Lit,GEN. ELE,UG14
94626  Berry College,ANT  200,Cultural Anthropology,ANTH 111,UG14
94626  Berry College,MUS  101,Elementary Theory I,MUSC 101,UG14
94626  Berry College,MUS  111,Concert Choir,MUSC ELE,UG14
94626  Berry College,MUS  132,Chamber Music,MUSE 131,UG14
94626  Berry College,MUS  151,Applied Music Lesson,MUSC ELE,UG14
94626  Berry College,PSY  101,Introduction to Psychology,PSYC 103,UG14
94626  Berry College,REL  103,Introduction to Christian Theolo,THEO GER,UG14
89106  Big Bend Community College,BYS  282,Time Management,GEN. ELE,UG11
383258  Bluegrass Community & Technical,AHS  105,Intro to Health Occupations,GEN. ELE,UG12
383258  Bluegrass Community & Technical,AHS  115,Medical Terminology,GEN. ELE,UG12
383258  Bluegrass Community & Technical,AHS  115,Medical Terminology,GEN. ELE,UG14
383258  Bluegrass Community & Technical,AHS  120,Medical Terminology,GEN. ELE,UG12
383258  Bluegrass Community & Technical,ANT  130,Intro to Comparative Religion,THEO GER,UG14
383258  Bluegrass Community & Technical,ANT  160,Cultural Diversity Mod World,ANTH ELE,UG15
383258  Bluegrass Community & Technical,ANT  242,New World Civilization,ANTH ELE,UG14
383258  Bluegrass Community & Technical,ART  100,Intro to Art,ART. 101,UG15
383258  Bluegrass Community & Technical,ASL  101,American Sign Language I,GEN. ELE,UG12
383258  Bluegrass Community & Technical,AST  191,The Solar System,PHYS ELE,UG11
383258  Bluegrass Community & Technical,AST  191,The Solar System,PHYS 105,UG11
383258  Bluegrass Community & Technical,AST  192,"Stars, Galaxies, Universe",PHYS ELE,UG11
383258  Bluegrass Community & Technical,AST  195,Introductory Astronomy Lab,PHYS 105L,UG11
383258  Bluegrass Community & Technical,BAS  120,Personal Finance,B.A. ELE,UG14
383258  Bluegrass Community & Technical,BIO  112,Introduction to Biology,BIOL ELE,UG11
383258  Bluegrass Community & Technical,BIO  118,Microbes and Society,BIOL ELE,UG15
383258  Bluegrass Community & Technical,BIO  120,Human Ecology,BIOL ELE,UG12
383258  Bluegrass Community & Technical,BIO  137,Human Antamony & Physiology I,BIOL 108,UG15
383258  Bluegrass Community & Technical,BIO  137,Human Antamony & Physiology I,BIOL 108,UG11
383258  Bluegrass Community & Technical,BIO  137,Human Antamony & Physiology I,BIOL 108,UG14
383258  Bluegrass Community & Technical,BIO  139,Human Antamony & Physiology II,BIOL 109,UG14
383258  Bluegrass Community & Technical,BIO  139,Human Antamony & Physiology II,BIOL 109,UG11
383258  Bluegrass Community & Technical,BIO  139,Human Antamony & Physiology II,BIOL 109,UG15
383258  Bluegrass Community & Technical,BIO  150,Principles of Biology I,BIOL ELE,UG14
383258  Bluegrass Community & Technical,BIO  226,Principles of Microbiology,BIOL ELE,UG14
383258  Bluegrass Community & Technical,BIO  299,Selected Topics in Biology,BIOL ELE,UG14
383258  Bluegrass Community & Technical,BSL  110,Human Anatomy And P,BIOL 108,UG11
383258  Bluegrass Community & Technical,BSL  111,Human Anatomy & P,BIOL 109,UG11
383258  Bluegrass Community & Technical,CHE  140,Introductory General Chemistry,CHEM ELE,UG14
383258  Bluegrass Community & Technical,CHE  140,Introductory General Chemistry,CHEM ELE,UG15
383258  Bluegrass Community & Technical,CHE  160,General College Chemistry II,CHEM 104,UG14
383258  Bluegrass Community & Technical,CHE  170,General College Chemistry I,CHEM 103,UG14
383258  Bluegrass Community & Technical,CHE  175,Gen College Chemistry Lab I,CHEM 103L,UG14
383258  Bluegrass Community & Technical,CHE  183,General Coll Chem II Workshop,CHEM ELE,UG14
383258  Bluegrass Community & Technical,CHE  185,General College Chem Lab II,CHEM 104L,UG14
383258  Bluegrass Community & Technical,CHE  270,Organic Chemistry I,CHEM ELE,UG14
383258  Bluegrass Community & Technical,CHE  280,Organic Chemistry II,CHEM ELE,UG14
383258  Bluegrass Community & Technical,CIT  105,Introduction to Computing,C.S. 116,UG14
383258  Bluegrass Community & Technical,CIT  105,Introduction to Computing,C.S. 116,UG15
383258  Bluegrass Community & Technical,CIT  105,Introduction to Computing,C.S. 116,UG11
383258  Bluegrass Community & Technical,CIT  105,Introduction to Computing,C.S. 116,UG12
383258  Bluegrass Community & Technical,CLA  131,Med Terminol Greek,GEN. ELE,UG11
383258  Bluegrass Community & Technical,CLA  131,Med Term from Greek & Latin,GEN. ELE,UG15
383258  Bluegrass Community & Technical,COM  101,Intro to Communications,COMM ELE,UG15
383258  Bluegrass Community & Technical,COM  101,Intro to Communications,COMM ELE,UG11
383258  Bluegrass Community & Technical,COM  101,Intro to Communications,COMM 103,UG11
383258  Bluegrass Community & Technical,COM  181,Basic Public Speaking,COMM 103,UG12
383258  Bluegrass Community & Technical,COM  181,Basic Public Speaking,COMM 103,UG14
383258  Bluegrass Community & Technical,COM  252,Intro to Interpersonal Comm,COMM 302,UG14
383258  Bluegrass Community & Technical,COM  252,Intro to Interpersonal Comm,COMM ELE,UG11
383258  Bluegrass Community & Technical,COM  252,Intro to Interpersonal Comm,COMM 302,UG15
383258  Bluegrass Community & Technical,COM  254,Intro to Intercultural Comm,COMM ELE,UG14
383258  Bluegrass Community & Technical,ECO  201,Principles of Microeconomics,ECON 111,UG11
383258  Bluegrass Community & Technical,ENG  101,Writing I,ENGL 101,UG11
383258  Bluegrass Community & Technical,ENG  101,Writing I,ENGL 101,UG15
383258  Bluegrass Community & Technical,ENG  101,Writing I,ENGL 101,UG14
383258  Bluegrass Community & Technical,ENG  102,Writing II,ENGL ELE,UG14
383258  Bluegrass Community & Technical,ENG  102,Writing II,ENGL ELE,UG15
383258  Bluegrass Community & Technical,ENG  102,Writing II,ENGL ELE,UG11
383258  Bluegrass Community & Technical,ENG  161,Intro to Literature,ENGL GER,UG11
383258  Bluegrass Community & Technical,ENG  230,Intro to Literature,ENGL GER,UG11
383258  Bluegrass Community & Technical,ENG  264,Major Black Writers,ENGL GER,UG11
383258  Bluegrass Community & Technical,FAM  252,Intro to Family Science,GEN. ELE,UG11
383258  Bluegrass Community & Technical,FAM  253,Human Sexuality,GEN. ELE,UG11
383258  Bluegrass Community & Technical,FYE  105,Achieving Academic Success,IDC. 101,UG14
383258  Bluegrass Community & Technical,GE   101,Strategies for Acad,IDC. 101,UG11
383258  Bluegrass Community & Technical,GLY  101,Physical Geology,N.S. GER,UG12
383258  Bluegrass Community & Technical,GLY  111,Physical Geology Laboratory,N.S. ELE,UG12
383258  Bluegrass Community & Technical,HIS  101,World Civilization I,HIST 116,UG14
383258  Bluegrass Community & Technical,HIS  105,History Europe Post-17th Cent,HIST 117,UG11
383258  Bluegrass Community & Technical,HIS  108,History of the US Through 1865,HIST 201,UG11
383258  Bluegrass Community & Technical,HIS  109,History of the US Since 1865,HIST 202,UG12
383258  Bluegrass Community & Technical,HIS  109,History of the US Since 1865,HIST 202,UG14
383258  Bluegrass Community & Technical,HIS  109,History of the US Since 1865,HIST 202,UG15
383258  Bluegrass Community & Technical,HIS  240,History of Kentucky,HIST ELE,UG11
383258  Bluegrass Community & Technical,HNR  101,Intro to Contemporary Thought,GEN. ELE,UG14
383258  Bluegrass Community & Technical,HUM  135,Intro to Native American Lit,HUM. ELE,UG11
383258  Bluegrass Community & Technical,IMD  100,Intro to Information Systems,GEN. ELE,UG15
383258  Bluegrass Community & Technical,IT   100,Computer Literacy,C.S. ELE,UG14
383258  Bluegrass Community & Technical,MA   109,College Algebra,MATH 105,UG11
383258  Bluegrass Community & Technical,MA   111,Contemporary Mathematics,MATH 107,UG14
383258  Bluegrass Community & Technical,MA   111,Contemporary Mathematics,MATH 107,UG12
383258  Bluegrass Community & Technical,MA   113,Calculus I,MATH 117,UG14
383258  Bluegrass Community & Technical,MA   114,Calculus II,MATH 118,UG14
383258  Bluegrass Community & Technical,MA   123,Elemen Calculus & Its Apps,MATH 125,UG15
383258  Bluegrass Community & Technical,MA   123,Elemen Calculus & Its Apps,MATH 125,UG11
383258  Bluegrass Community & Technical,MA   213,Calculus III,MATH 216,UG14
383258  Bluegrass Community & Technical,MA   214,Calculus IV,MATH 301,UG14
383258  Bluegrass Community & Technical,MAT  150,College Algebra,MATH 105,UG15
383258  Bluegrass Community & Technical,MAT  150,College Algebra,MATH 105,UG14
383258  Bluegrass Community & Technical,MAT  150,College Algebra,MATH 105,UG12
383258  Bluegrass Community & Technical,MAT  155,Trigonometry,MATH ELE,UG14
383258  Bluegrass Community & Technical,MAT  170,Brief Calculus w/Applications,MATH 125,UG15
383258  Bluegrass Community & Technical,MAT  170,Brief Calculus w/Applications,MATH 125,UG14
383258  Bluegrass Community & Technical,MGT  160,Introduction to Business,B.A. 103,UG14
383258  Bluegrass Community & Technical,MGT  160,Introduction to Business,B.A. 103,UG11
383258  Bluegrass Community & Technical,MUS  100,Intro to Music,MUSC GER,UG11
